,tourney_date,p1_id,p1_name,p2_id,p2_name,p1_hand,p1_ht,p1_age,p2_hand,p2_ht,p2_age,best_of,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,win
18108,20171030,106043,Diego Schwartzman,104545,John Isner,1,170.0,25.2046543463,1,206.0,32.5119780972,3,7.0,2.0,105.0,57.0,44.0,33.0,16.0,3.0,4.0,29.0,4.0,130.0,90.0,67.0,24.0,17.0,4.0,4.0,2
18107,20171030,104755,Richard Gasquet,105777,Grigor Dimitrov,1,185.0,31.3675564682,1,188.0,26.458590006799998,3,1.0,1.0,62.0,41.0,30.0,11.0,10.0,6.0,8.0,7.0,2.0,50.0,30.0,26.0,14.0,10.0,0.0,0.0,2
18109,20171030,105223,Juan Martin del Potro,105311,Joao Sousa,1,198.0,29.1006160164,1,185.0,28.5859000684,3,9.0,1.0,46.0,25.0,22.0,13.0,8.0,1.0,1.0,1.0,4.0,50.0,32.0,22.0,3.0,8.0,4.0,8.0,1
18123,20171030,103898,Julien Benneteau,105227,Marin Cilic,1,185.0,35.8603696099,1,198.0,29.0869267625,3,12.0,3.0,86.0,52.0,37.0,15.0,12.0,1.0,4.0,9.0,1.0,81.0,48.0,32.0,15.0,12.0,3.0,7.0,1
18119,20171030,105223,Juan Martin del Potro,104898,Robin Haase,1,198.0,29.1006160164,1,190.0,30.5681040383,3,5.0,1.0,71.0,40.0,27.0,19.0,11.0,2.0,3.0,9.0,4.0,63.0,35.0,28.0,12.0,11.0,0.0,3.0,1
18110,20171030,104898,Robin Haase,100644,Alexander Zverev,1,190.0,30.5681040383,1,198.0,20.5284052019,3,3.0,4.0,60.0,37.0,29.0,17.0,12.0,0.0,1.0,6.0,3.0,89.0,55.0,36.0,13.0,13.0,7.0,11.0,1
18127,20171030,106058,Jack Sock,105936,Filip Krajinovic,1,185.0,25.0978781656,1,185.0,25.6728268309,3,9.0,3.0,72.0,39.0,31.0,20.0,14.0,1.0,4.0,5.0,5.0,105.0,72.0,43.0,13.0,15.0,2.0,8.0,1
18126,20171030,104545,John Isner,105936,Filip Krajinovic,1,206.0,32.5119780972,1,185.0,25.6728268309,3,31.0,2.0,92.0,74.0,63.0,12.0,17.0,0.0,1.0,12.0,2.0,116.0,77.0,61.0,23.0,17.0,5.0,5.0,2
18125,20171030,103898,Julien Benneteau,106058,Jack Sock,1,185.0,35.8603696099,1,185.0,25.0978781656,3,3.0,5.0,59.0,34.0,24.0,8.0,10.0,4.0,9.0,6.0,1.0,52.0,34.0,26.0,12.0,10.0,3.0,5.0,2
18124,20171030,104545,John Isner,105223,Juan Martin del Potro,1,206.0,32.5119780972,1,198.0,29.1006160164,3,15.0,4.0,87.0,60.0,51.0,18.0,16.0,0.0,0.0,10.0,2.0,90.0,66.0,55.0,12.0,16.0,0.0,2.0,1
18122,20171030,104269,Fernando Verdasco,106058,Jack Sock,0,188.0,33.957563312800005,1,185.0,25.0978781656,3,9.0,6.0,99.0,69.0,49.0,11.0,14.0,14.0,18.0,10.0,8.0,115.0,79.0,59.0,14.0,15.0,4.0,5.0,2
18121,20171030,104655,Pablo Cuevas,104745,Rafael Nadal,1,180.0,31.8275154004,0,185.0,31.40862423,3,11.0,1.0,87.0,47.0,33.0,24.0,14.0,6.0,10.0,3.0,7.0,104.0,68.0,49.0,20.0,16.0,3.0,5.0,2
18120,20171030,103917,Nicolas Mahut,105936,Filip Krajinovic,1,190.0,35.7727583847,1,185.0,25.6728268309,3,9.0,4.0,73.0,38.0,24.0,17.0,12.0,1.0,6.0,8.0,1.0,75.0,51.0,38.0,11.0,12.0,4.0,6.0,2
18118,20171030,104545,John Isner,105777,Grigor Dimitrov,1,206.0,32.5119780972,1,188.0,26.458590006799998,3,25.0,4.0,131.0,103.0,77.0,15.0,18.0,10.0,12.0,14.0,7.0,109.0,72.0,64.0,18.0,18.0,1.0,2.0,1
18117,20171030,103898,Julien Benneteau,105676,David Goffin,1,185.0,35.8603696099,1,163.0,26.8966461328,3,14.0,3.0,56.0,35.0,31.0,7.0,9.0,2.0,3.0,3.0,2.0,53.0,27.0,16.0,14.0,9.0,4.0,8.0,1
18116,20171030,105138,Roberto Bautista Agut,105227,Marin Cilic,1,183.0,29.5441478439,1,198.0,29.0869267625,3,2.0,4.0,68.0,34.0,23.0,13.0,10.0,4.0,8.0,7.0,4.0,69.0,39.0,30.0,13.0,10.0,6.0,8.0,2
18115,20171030,106233,Dominic Thiem,104269,Fernando Verdasco,1,185.0,24.156057494899997,0,188.0,33.957563312800005,3,4.0,1.0,69.0,33.0,19.0,22.0,10.0,6.0,9.0,4.0,0.0,51.0,41.0,32.0,6.0,10.0,3.0,4.0,2
18114,20171030,106058,Jack Sock,106298,Lucas Pouille,1,185.0,25.0978781656,1,185.0,23.6824093087,3,7.0,4.0,67.0,45.0,35.0,9.0,11.0,2.0,4.0,11.0,6.0,75.0,42.0,32.0,12.0,10.0,3.0,6.0,1
18113,20171030,105077,Albert Ramos,104655,Pablo Cuevas,0,188.0,29.7850787132,1,180.0,31.8275154004,3,12.0,4.0,111.0,60.0,44.0,21.0,16.0,5.0,9.0,6.0,3.0,105.0,63.0,44.0,26.0,16.0,6.0,8.0,2
18112,20171030,105023,Sam Querrey,105936,Filip Krajinovic,1,198.0,30.0643394935,1,185.0,25.6728268309,3,11.0,4.0,65.0,37.0,27.0,11.0,10.0,2.0,5.0,2.0,1.0,61.0,41.0,28.0,13.0,10.0,0.0,1.0,2
18111,20171030,105807,Pablo Carreno Busta,103917,Nicolas Mahut,1,188.0,26.302532512,1,190.0,35.7727583847,3,2.0,3.0,54.0,29.0,19.0,10.0,8.0,6.0,10.0,5.0,4.0,70.0,41.0,29.0,16.0,9.0,8.0,9.0,2
18064,20171023,105223,Juan Martin del Potro,105138,Roberto Bautista Agut,1,198.0,29.0814510609,1,183.0,29.5249828884,3,8.0,0.0,81.0,53.0,34.0,16.0,13.0,2.0,5.0,0.0,2.0,69.0,40.0,31.0,12.0,13.0,3.0,7.0,1
18061,20171023,105138,Roberto Bautista Agut,105992,Ryan Harrison,1,183.0,29.5249828884,1,183.0,25.4620123203,3,3.0,3.0,69.0,38.0,26.0,23.0,11.0,3.0,4.0,5.0,6.0,77.0,44.0,32.0,12.0,10.0,4.0,6.0,1
18062,20171023,104898,Robin Haase,106058,Jack Sock,1,190.0,30.5489390828,1,185.0,25.078713210100002,3,6.0,3.0,77.0,40.0,32.0,21.0,14.0,3.0,6.0,3.0,2.0,80.0,53.0,39.0,13.0,14.0,2.0,5.0,2
18063,20171023,103819,Roger Federer,105332,Benoit Paire,1,185.0,36.2080766598,1,196.0,28.4599589322,3,2.0,1.0,56.0,34.0,24.0,14.0,8.0,0.0,0.0,4.0,2.0,49.0,28.0,18.0,7.0,8.0,5.0,9.0,1
18070,20171023,103852,Feliciano Lopez,104755,Richard Gasquet,0,188.0,36.090349076,1,185.0,31.3483915127,3,7.0,5.0,57.0,28.0,23.0,8.0,8.0,2.0,5.0,2.0,3.0,46.0,27.0,22.0,14.0,9.0,0.0,0.0,2
18065,20171023,106058,Jack Sock,105676,David Goffin,1,185.0,25.078713210100002,1,163.0,26.8774811773,3,6.0,4.0,64.0,42.0,27.0,11.0,11.0,2.0,5.0,2.0,2.0,64.0,36.0,27.0,18.0,10.0,2.0,3.0,2
18066,20171023,103819,Roger Federer,105173,Adrian Mannarino,1,185.0,36.2080766598,0,183.0,29.3169062286,3,12.0,2.0,72.0,38.0,32.0,19.0,13.0,2.0,3.0,1.0,1.0,83.0,42.0,26.0,24.0,13.0,4.0,8.0,1
18067,20171023,105223,Juan Martin del Potro,105227,Marin Cilic,1,198.0,29.0814510609,1,198.0,29.067761806999997,3,7.0,2.0,55.0,37.0,28.0,9.0,10.0,1.0,3.0,6.0,6.0,66.0,28.0,18.0,17.0,10.0,8.0,12.0,1
18059,20171023,105449,Steve Johnson,105332,Benoit Paire,1,188.0,27.8302532512,1,196.0,28.4599589322,3,5.0,10.0,102.0,55.0,39.0,15.0,11.0,7.0,11.0,7.0,6.0,68.0,39.0,29.0,15.0,10.0,0.0,2.0,2
18060,20171023,105223,Juan Martin del Potro,103898,Julien Benneteau,1,198.0,29.0814510609,1,185.0,35.8412046543,3,12.0,1.0,53.0,37.0,33.0,9.0,10.0,1.0,1.0,12.0,5.0,71.0,45.0,36.0,8.0,10.0,5.0,7.0,1
18050,20171023,105227,Marin Cilic,104252,Florian Mayer,1,198.0,29.067761806999997,1,190.0,34.0506502396,3,7.0,0.0,24.0,17.0,14.0,6.0,5.0,0.0,0.0,2.0,0.0,28.0,21.0,15.0,2.0,4.0,2.0,3.0,1
18058,20171023,105676,David Goffin,105376,Peter Gojowczyk,1,163.0,26.8774811773,1,185.0,28.273785078699998,3,3.0,0.0,57.0,30.0,23.0,14.0,10.0,2.0,4.0,9.0,3.0,80.0,37.0,23.0,18.0,10.0,6.0,11.0,1
18057,20171023,104898,Robin Haase,103843,Marco Chiudinelli,1,190.0,30.5489390828,1,185.0,36.117727583800004,3,8.0,1.0,65.0,36.0,32.0,15.0,10.0,6.0,7.0,9.0,1.0,75.0,48.0,36.0,9.0,10.0,4.0,7.0,1
18056,20171023,105577,Vasek Pospisil,106058,Jack Sock,1,193.0,27.3347022587,1,185.0,25.078713210100002,3,17.0,5.0,99.0,53.0,45.0,26.0,17.0,2.0,4.0,10.0,8.0,110.0,61.0,43.0,29.0,16.0,11.0,13.0,2
18055,20171023,105062,Mikhail Kukushkin,105138,Roberto Bautista Agut,1,183.0,29.826146475,1,183.0,29.5249828884,3,0.0,1.0,39.0,24.0,10.0,5.0,7.0,1.0,6.0,3.0,1.0,39.0,17.0,15.0,15.0,8.0,0.0,1.0,2
