,tourney_date,p1_id,p1_name,p2_id,p2_name,p1_hand,p1_ht,p1_age,p2_hand,p2_ht,p2_age,best_of,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,win
6792,20120709,105777,Grigor Dimitrov,103970,David Ferrer,1,188.0,21.149897330599998,1,175.0,30.2696783025,3,2.0,1.0,63.0,37.0,26.0,11.0,10.0,4.0,7.0,2.0,3.0,70.0,46.0,34.0,13.0,11.0,7.0,8.0,2
6796,20120709,106058,Jack Sock,103857,Igor Kunitsyn,1,185.0,19.7891854894,1,180.0,30.7734428474,3,13.0,8.0,94.0,52.0,38.0,18.0,15.0,5.0,10.0,3.0,1.0,83.0,37.0,28.0,24.0,14.0,3.0,7.0,1
6790,20120709,104225,Jan Hajek,105132,Jurgen Zopp,1,180.0,28.922655715300003,1,190.0,24.279260780300003,3,5.0,1.0,82.0,55.0,38.0,13.0,14.0,5.0,8.0,1.0,5.0,86.0,56.0,32.0,16.0,14.0,1.0,6.0,1
6789,20120709,105777,Grigor Dimitrov,105077,Albert Ramos,1,188.0,21.149897330599998,0,188.0,24.476386036999997,3,2.0,1.0,65.0,43.0,24.0,18.0,10.0,4.0,6.0,0.0,3.0,80.0,48.0,28.0,13.0,11.0,5.0,9.0,1
6818,20120709,105992,Ryan Harrison,103794,Benjamin Becker,1,183.0,20.1724845996,1,178.0,31.0636550308,3,5.0,1.0,42.0,23.0,17.0,12.0,6.0,7.0,7.0,2.0,2.0,39.0,15.0,7.0,13.0,7.0,2.0,5.0,1
6769,20120709,104154,Paul Capdeville,104620,Simone Bolelli,1,190.0,29.2703627652,1,183.0,26.7515400411,3,2.0,6.0,91.0,52.0,32.0,16.0,12.0,7.0,13.0,4.0,3.0,82.0,61.0,36.0,11.0,12.0,6.0,12.0,2
6770,20120709,105154,Joao Souza,104547,Horacio Zeballos,1,193.0,24.1177275838,0,188.0,27.2005475702,3,4.0,1.0,50.0,34.0,25.0,12.0,9.0,0.0,0.0,3.0,0.0,54.0,33.0,22.0,9.0,9.0,3.0,6.0,1
6771,20120709,104494,Adrian Ungur,103990,Tommy Robredo,1,178.0,27.4524298426,1,180.0,30.1902806297,3,1.0,2.0,52.0,31.0,23.0,10.0,9.0,3.0,6.0,4.0,0.0,49.0,31.0,25.0,13.0,9.0,2.0,2.0,2
6772,20120709,103999,Thiago Alves,105095,Evgeny Korolev,1,178.0,30.1327857632,1,185.0,24.3997262149,3,2.0,1.0,59.0,39.0,14.0,8.0,8.0,8.0,15.0,4.0,2.0,41.0,24.0,19.0,6.0,7.0,0.0,2.0,2
6773,20120709,104947,Marsel Ilhan,104523,Frederico Gil,1,190.0,25.078713210100002,1,178.0,27.2936344969,3,2.0,1.0,75.0,50.0,33.0,18.0,13.0,5.0,7.0,3.0,2.0,88.0,57.0,36.0,17.0,13.0,6.0,8.0,2
6774,20120709,104297,Rogerio Dutra Silva,105777,Grigor Dimitrov,1,178.0,28.429842573600002,1,188.0,21.149897330599998,3,0.0,0.0,51.0,35.0,17.0,10.0,8.0,4.0,7.0,5.0,1.0,49.0,30.0,26.0,11.0,9.0,1.0,1.0,2
6775,20120709,103835,Filippo Volandri,104453,Michael Ryderstedt,1,183.0,30.841889116999997,0,188.0,27.6550308008,3,1.0,0.0,49.0,35.0,27.0,8.0,9.0,3.0,4.0,1.0,2.0,52.0,31.0,18.0,8.0,9.0,1.0,5.0,1
6776,20120709,104225,Jan Hajek,105643,Federico Delbonis,1,180.0,28.922655715300003,0,190.0,21.7604380561,3,3.0,0.0,69.0,50.0,34.0,13.0,10.0,2.0,3.0,3.0,3.0,73.0,46.0,31.0,10.0,11.0,2.0,5.0,1
6777,20120709,104593,Daniel Gimeno Traver,105062,Mikhail Kukushkin,1,185.0,26.921286789899998,1,183.0,24.536618754299997,3,10.0,2.0,99.0,56.0,40.0,21.0,14.0,9.0,12.0,2.0,2.0,94.0,52.0,32.0,24.0,14.0,4.0,8.0,1
6778,20120709,105561,Alessandro Giannessi,103582,Michael Berrer,0,183.0,22.1108829569,0,193.0,32.0219028063,3,0.0,7.0,110.0,86.0,52.0,12.0,15.0,11.0,16.0,1.0,3.0,118.0,86.0,52.0,16.0,16.0,8.0,13.0,1
6779,20120709,105138,Roberto Bautista Agut,104371,Ivo Minar,1,183.0,24.2354551677,1,183.0,28.134154688600002,3,1.0,1.0,86.0,59.0,33.0,16.0,12.0,11.0,15.0,8.0,1.0,68.0,49.0,32.0,11.0,12.0,0.0,3.0,2
6780,20120709,103970,David Ferrer,104620,Simone Bolelli,1,175.0,30.2696783025,1,183.0,26.7515400411,3,3.0,1.0,51.0,28.0,23.0,10.0,10.0,0.0,2.0,0.0,0.0,55.0,42.0,22.0,6.0,9.0,3.0,7.0,1
6781,20120709,103990,Tommy Robredo,105154,Joao Souza,1,180.0,30.1902806297,1,193.0,24.1177275838,3,7.0,2.0,44.0,28.0,23.0,7.0,8.0,0.0,1.0,0.0,2.0,42.0,24.0,14.0,6.0,8.0,0.0,5.0,1
6782,20120709,105095,Evgeny Korolev,105077,Albert Ramos,1,185.0,24.3997262149,0,188.0,24.476386036999997,3,1.0,5.0,58.0,33.0,19.0,9.0,9.0,4.0,9.0,5.0,3.0,63.0,44.0,31.0,8.0,9.0,6.0,8.0,2
6783,20120709,105777,Grigor Dimitrov,104523,Frederico Gil,1,188.0,21.149897330599998,1,178.0,27.2936344969,3,5.0,1.0,58.0,36.0,25.0,14.0,10.0,3.0,5.0,1.0,1.0,56.0,35.0,19.0,10.0,9.0,6.0,10.0,1
6784,20120709,105132,Jurgen Zopp,103835,Filippo Volandri,1,190.0,24.279260780300003,1,183.0,30.841889116999997,3,5.0,1.0,79.0,53.0,29.0,14.0,13.0,2.0,7.0,0.0,4.0,111.0,85.0,46.0,9.0,13.0,10.0,17.0,1
6785,20120709,103813,Jarkko Nieminen,104225,Jan Hajek,0,185.0,30.962354551700003,1,180.0,28.922655715300003,3,1.0,3.0,82.0,62.0,34.0,8.0,10.0,6.0,10.0,1.0,0.0,59.0,35.0,27.0,12.0,9.0,0.0,1.0,2
6786,20120709,105561,Alessandro Giannessi,104593,Daniel Gimeno Traver,0,183.0,22.1108829569,1,185.0,26.921286789899998,3,0.0,1.0,57.0,42.0,25.0,8.0,9.0,5.0,8.0,7.0,1.0,64.0,42.0,32.0,11.0,10.0,4.0,5.0,2
6787,20120709,104597,Nicolas Almagro,104371,Ivo Minar,1,183.0,26.8829568789,1,183.0,28.134154688600002,3,9.0,1.0,97.0,61.0,46.0,16.0,15.0,5.0,9.0,9.0,1.0,93.0,58.0,44.0,18.0,14.0,4.0,6.0,1
6788,20120709,103970,David Ferrer,103990,Tommy Robredo,1,175.0,30.2696783025,1,180.0,30.1902806297,3,3.0,3.0,77.0,47.0,37.0,16.0,13.0,0.0,1.0,3.0,2.0,90.0,51.0,35.0,16.0,12.0,6.0,10.0,1
6817,20120709,104545,John Isner,104292,Izak Van Der Merwe,1,206.0,27.203285420900002,1,196.0,28.451745379899997,3,12.0,2.0,67.0,48.0,41.0,10.0,11.0,2.0,2.0,6.0,4.0,63.0,39.0,32.0,14.0,11.0,1.0,2.0,1
6804,20120709,104797,Denis Istomin,105065,Tim Smyczek,1,188.0,25.8370978782,1,175.0,24.5256673511,3,7.0,2.0,62.0,39.0,23.0,9.0,9.0,10.0,14.0,6.0,0.0,45.0,29.0,23.0,11.0,9.0,2.0,3.0,2
6819,20120709,104534,Dudi Sela,103720,Lleyton Hewitt,1,175.0,27.2635181383,1,180.0,31.370294319,3,1.0,5.0,59.0,26.0,14.0,16.0,10.0,6.0,11.0,5.0,2.0,62.0,31.0,26.0,13.0,9.0,6.0,8.0,2
6842,20120709,104460,Dustin Brown,104198,Guillermo Garcia Lopez,1,196.0,27.5838466804,1,188.0,29.0978781656,3,2.0,1.0,43.0,19.0,12.0,9.0,7.0,4.0,8.0,2.0,2.0,46.0,31.0,25.0,10.0,8.0,3.0,3.0,2
6844,20120709,104338,Juan Monaco,104198,Guillermo Garcia Lopez,1,185.0,28.279260780300003,1,188.0,29.0978781656,3,1.0,1.0,94.0,57.0,37.0,21.0,15.0,0.0,3.0,0.0,6.0,106.0,56.0,40.0,23.0,15.0,9.0,13.0,1
6845,20120709,104386,Janko Tipsarevic,104338,Juan Monaco,1,180.0,28.046543463400003,1,185.0,28.279260780300003,3,3.0,1.0,75.0,41.0,28.0,16.0,15.0,0.0,5.0,0.0,1.0,102.0,74.0,41.0,16.0,16.0,7.0,14.0,1
6846,20120709,105208,Ernests Gulbis,103165,Gorka Fraile,1,190.0,23.8576317591,1,180.0,34.2559890486,3,14.0,5.0,52.0,32.0,29.0,7.0,8.0,2.0,2.0,0.0,1.0,53.0,40.0,25.0,3.0,8.0,4.0,8.0,1
6847,20120709,103808,Potito Starace,103657,Ivo Klec,1,188.0,30.9869952088,1,183.0,31.611225188200002,3,3.0,1.0,63.0,47.0,34.0,13.0,11.0,1.0,2.0,0.0,2.0,78.0,48.0,36.0,10.0,10.0,7.0,9.0,1
6848,20120709,105311,Joao Sousa,104897,Matthias Bachinger,1,185.0,23.277207392199998,1,188.0,25.2703627652,3,2.0,6.0,113.0,79.0,48.0,13.0,16.0,5.0,12.0,11.0,4.0,109.0,52.0,40.0,25.0,15.0,10.0,14.0,2
6849,20120709,105373,Martin Klizan,105379,Aljaz Bedene,0,190.0,22.995208761100002,1,181.0,22.9760438056,3,2.0,3.0,47.0,23.0,18.0,14.0,8.0,1.0,2.0,1.0,6.0,55.0,27.0,18.0,7.0,8.0,4.0,9.0,1
6850,20120709,104122,Carlos Berlocq,104471,Ivan Dodig,1,183.0,29.4291581109,1,183.0,27.515400410700003,3,1.0,1.0,39.0,30.0,25.0,7.0,8.0,0.0,0.0,3.0,1.0,54.0,29.0,16.0,11.0,8.0,2.0,6.0,1
6851,20120709,103971,Karol Beck,104926,Fabio Fognini,1,180.0,30.266940451700002,1,178.0,25.1279945243,3,0.0,7.0,59.0,31.0,16.0,13.0,8.0,4.0,8.0,1.0,2.0,40.0,26.0,22.0,10.0,8.0,0.0,0.0,2
6852,20120709,104639,Wayne Odesnik,104273,Edouard Roger Vasselin,0,180.0,26.6310746064,1,188.0,28.6132785763,3,6.0,5.0,110.0,66.0,45.0,27.0,16.0,7.0,9.0,4.0,5.0,106.0,59.0,40.0,25.0,16.0,3.0,8.0,1
6853,20120709,104882,Blaz Kavcic,105099,Antonio Veic,1,188.0,25.3470225873,1,180.0,24.388774811799998,3,0.0,1.0,40.0,26.0,19.0,10.0,8.0,0.0,1.0,0.0,2.0,44.0,27.0,13.0,6.0,8.0,2.0,7.0,1
6854,20120709,104269,Fernando Verdasco,105208,Ernests Gulbis,0,188.0,28.648870636599998,1,190.0,23.8576317591,3,4.0,6.0,75.0,48.0,40.0,11.0,12.0,4.0,6.0,8.0,9.0,91.0,47.0,31.0,19.0,12.0,13.0,18.0,1
6856,20120709,105373,Martin Klizan,104897,Matthias Bachinger,0,190.0,22.995208761100002,1,188.0,25.2703627652,3,3.0,5.0,80.0,46.0,28.0,14.0,12.0,8.0,13.0,8.0,1.0,75.0,39.0,28.0,16.0,12.0,5.0,8.0,2
6857,20120709,105238,Alexandr Dolgopolov,104926,Fabio Fognini,1,180.0,23.6687200548,1,178.0,25.1279945243,3,1.0,0.0,56.0,30.0,24.0,15.0,9.0,2.0,2.0,1.0,2.0,62.0,43.0,27.0,9.0,9.0,3.0,6.0,1
6858,20120709,104882,Blaz Kavcic,104639,Wayne Odesnik,1,188.0,25.3470225873,0,180.0,26.6310746064,3,3.0,3.0,96.0,54.0,33.0,18.0,16.0,3.0,10.0,2.0,7.0,120.0,70.0,42.0,21.0,17.0,11.0,19.0,2
6859,20120709,104978,Daniel Brands,105227,Marin Cilic,1,196.0,24.980150581799997,1,198.0,23.778234086199998,3,2.0,2.0,42.0,28.0,16.0,5.0,8.0,1.0,5.0,6.0,0.0,52.0,29.0,21.0,14.0,9.0,2.0,3.0,2
6860,20120709,104269,Fernando Verdasco,105723,Andrey Kuznetsov,0,188.0,28.648870636599998,1,185.0,21.3771389459,3,2.0,3.0,61.0,45.0,36.0,6.0,8.0,6.0,6.0,2.0,5.0,62.0,40.0,24.0,7.0,8.0,3.0,7.0,1
6861,20120709,104897,Matthias Bachinger,104719,Marcel Granollers,1,188.0,25.2703627652,1,190.0,26.2422997947,3,3.0,4.0,96.0,51.0,42.0,17.0,14.0,10.0,13.0,0.0,2.0,79.0,50.0,39.0,16.0,14.0,7.0,10.0,2
6862,20120709,105238,Alexandr Dolgopolov,104122,Carlos Berlocq,1,180.0,23.6687200548,1,183.0,29.4291581109,3,4.0,2.0,60.0,28.0,24.0,18.0,10.0,4.0,5.0,4.0,2.0,64.0,45.0,28.0,10.0,10.0,1.0,4.0,1
6863,20120709,105227,Marin Cilic,104639,Wayne Odesnik,1,198.0,23.778234086199998,0,180.0,26.6310746064,3,8.0,2.0,65.0,39.0,29.0,11.0,8.0,5.0,6.0,0.0,3.0,53.0,34.0,16.0,7.0,8.0,3.0,8.0,1
6864,20120709,104719,Marcel Granollers,104269,Fernando Verdasco,1,190.0,26.2422997947,0,188.0,28.648870636599998,3,5.0,2.0,94.0,58.0,37.0,23.0,14.0,0.0,2.0,3.0,5.0,100.0,71.0,38.0,17.0,13.0,9.0,15.0,1
6865,20120709,105238,Alexandr Dolgopolov,105227,Marin Cilic,1,180.0,23.6687200548,1,198.0,23.778234086199998,3,1.0,4.0,55.0,25.0,15.0,13.0,10.0,4.0,9.0,1.0,2.0,59.0,26.0,17.0,21.0,10.0,0.0,2.0,2
6843,20120709,105064,Thomaz Bellucci,104386,Janko Tipsarevic,0,188.0,24.5256673511,1,180.0,28.046543463400003,3,9.0,6.0,72.0,40.0,34.0,17.0,14.0,3.0,6.0,3.0,5.0,85.0,42.0,32.0,20.0,14.0,4.0,7.0,2
6855,20120709,103808,Potito Starace,104719,Marcel Granollers,1,188.0,30.9869952088,1,190.0,26.2422997947,3,0.0,1.0,98.0,64.0,39.0,17.0,14.0,12.0,16.0,3.0,2.0,82.0,55.0,42.0,10.0,14.0,5.0,8.0,2
6841,20120709,105064,Thomaz Bellucci,105649,Cedrik Marcel Stebe,0,188.0,24.5256673511,0,183.0,21.749486653,3,1.0,2.0,48.0,25.0,17.0,15.0,8.0,0.0,1.0,1.0,3.0,54.0,30.0,17.0,9.0,9.0,4.0,9.0,1
6831,20120709,103163,Tommy Haas,104214,Igor Andreev,1,188.0,34.2669404517,1,185.0,28.9883641342,3,8.0,5.0,70.0,30.0,26.0,24.0,13.0,0.0,1.0,4.0,5.0,80.0,50.0,35.0,13.0,13.0,3.0,7.0,1
6840,20120709,103451,Bjorn Phau,104386,Janko Tipsarevic,1,175.0,32.7638603696,1,180.0,28.046543463400003,3,5.0,10.0,132.0,69.0,44.0,31.0,17.0,11.0,16.0,7.0,2.0,118.0,63.0,41.0,31.0,17.0,8.0,12.0,2
6821,20120709,105992,Ryan Harrison,104545,John Isner,1,183.0,20.1724845996,1,206.0,27.203285420900002,3,4.0,3.0,82.0,50.0,34.0,15.0,11.0,5.0,7.0,11.0,2.0,53.0,36.0,33.0,11.0,10.0,0.0,0.0,2
6822,20120709,104330,Rajeev Ram,103720,Lleyton Hewitt,1,193.0,28.3093771389,1,180.0,31.370294319,3,9.0,12.0,112.0,56.0,37.0,23.0,15.0,10.0,15.0,3.0,7.0,95.0,46.0,34.0,27.0,15.0,4.0,7.0,2
6823,20120709,103720,Lleyton Hewitt,104545,John Isner,1,180.0,31.370294319,1,206.0,27.203285420900002,3,8.0,3.0,71.0,43.0,31.0,14.0,11.0,2.0,3.0,16.0,1.0,68.0,48.0,38.0,12.0,11.0,1.0,1.0,2
6824,20120709,103656,Albert Montanes,104327,Steve Darcis,1,175.0,31.6167008898,1,178.0,28.3230663929,3,1.0,3.0,52.0,27.0,17.0,9.0,9.0,2.0,6.0,5.0,1.0,55.0,29.0,20.0,18.0,9.0,2.0,3.0,2
6825,20120709,104586,Lukas Rosol,104898,Robin Haase,1,196.0,26.9596167009,1,190.0,25.2594113621,3,12.0,1.0,65.0,35.0,32.0,17.0,11.0,4.0,4.0,8.0,2.0,59.0,29.0,22.0,18.0,11.0,1.0,3.0,1
6827,20120709,103997,Lukasz Kubot,105649,Cedrik Marcel Stebe,1,190.0,30.1492128679,0,183.0,21.749486653,3,5.0,10.0,77.0,42.0,31.0,11.0,12.0,4.0,8.0,4.0,2.0,70.0,46.0,31.0,11.0,11.0,4.0,7.0,2
6828,20120709,103786,Nikolay Davydenko,104460,Dustin Brown,1,178.0,31.101984941799998,1,196.0,27.5838466804,3,1.0,4.0,108.0,89.0,59.0,11.0,17.0,4.0,8.0,13.0,9.0,119.0,65.0,50.0,23.0,16.0,7.0,11.0,2
6829,20120709,105332,Benoit Paire,104724,Eduardo Schwank,1,196.0,23.170431211500002,1,183.0,26.212183436,3,7.0,10.0,73.0,40.0,33.0,13.0,11.0,3.0,6.0,2.0,4.0,87.0,61.0,37.0,12.0,11.0,3.0,7.0,1
6830,20120709,103105,Ruben Ramirez Hidalgo,104198,Guillermo Garcia Lopez,1,183.0,34.5051334702,1,188.0,29.0978781656,3,2.0,1.0,61.0,35.0,16.0,13.0,9.0,4.0,9.0,7.0,3.0,52.0,29.0,22.0,13.0,8.0,3.0,4.0,2
6826,20120709,104714,Julian Reister,104871,Jeremy Chardy,1,188.0,26.2696783025,1,188.0,25.4045174538,3,2.0,3.0,59.0,35.0,22.0,10.0,9.0,6.0,9.0,6.0,1.0,59.0,35.0,29.0,12.0,9.0,0.0,0.0,2
6837,20120709,104460,Dustin Brown,105332,Benoit Paire,1,196.0,27.5838466804,1,196.0,23.170431211500002,3,19.0,3.0,109.0,58.0,45.0,27.0,15.0,9.0,11.0,5.0,3.0,88.0,40.0,27.0,29.0,14.0,1.0,4.0,1
6866,20120709,105227,Marin Cilic,104719,Marcel Granollers,1,198.0,23.778234086199998,1,190.0,26.2422997947,3,0.0,1.0,53.0,32.0,22.0,12.0,9.0,1.0,3.0,1.0,2.0,49.0,28.0,17.0,7.0,9.0,2.0,7.0,1
6832,20120709,104735,Tobias Kamke,104262,Flavio Cipolla,1,180.0,26.135523614,1,173.0,28.720054757,3,0.0,7.0,58.0,33.0,26.0,12.0,9.0,4.0,5.0,1.0,3.0,58.0,39.0,24.0,8.0,10.0,3.0,7.0,1
6833,20120709,104327,Steve Darcis,104386,Janko Tipsarevic,1,178.0,28.3230663929,1,180.0,28.046543463400003,3,3.0,1.0,54.0,29.0,17.0,11.0,9.0,2.0,6.0,5.0,3.0,60.0,38.0,30.0,10.0,9.0,3.0,4.0,2
6834,20120709,103451,Bjorn Phau,104586,Lukas Rosol,1,175.0,32.7638603696,1,196.0,26.9596167009,3,7.0,3.0,96.0,47.0,38.0,28.0,12.0,5.0,6.0,10.0,9.0,103.0,51.0,38.0,25.0,12.0,5.0,6.0,1
6835,20120709,106071,Bernard Tomic,105064,Thomaz Bellucci,1,193.0,19.7152635181,0,188.0,24.5256673511,3,4.0,0.0,74.0,45.0,34.0,11.0,10.0,5.0,8.0,9.0,3.0,82.0,47.0,34.0,18.0,11.0,8.0,10.0,2
6836,20120709,105649,Cedrik Marcel Stebe,104871,Jeremy Chardy,0,183.0,21.749486653,1,188.0,25.4045174538,3,6.0,6.0,123.0,71.0,49.0,26.0,15.0,15.0,18.0,10.0,12.0,118.0,67.0,45.0,25.0,16.0,8.0,12.0,1
6838,20120709,104665,Pablo Andujar,104198,Guillermo Garcia Lopez,1,180.0,26.458590006799998,1,188.0,29.0978781656,3,1.0,10.0,79.0,40.0,22.0,16.0,12.0,8.0,15.0,1.0,5.0,73.0,36.0,27.0,17.0,12.0,3.0,6.0,2
6820,20120709,104330,Rajeev Ram,105453,Kei Nishikori,1,193.0,28.3093771389,1,178.0,22.527036276500002,3,6.0,2.0,75.0,43.0,35.0,18.0,11.0,4.0,5.0,1.0,2.0,67.0,43.0,33.0,10.0,10.0,2.0,4.0,1
6839,20120709,104338,Juan Monaco,104735,Tobias Kamke,1,185.0,28.279260780300003,1,180.0,26.135523614,3,3.0,1.0,63.0,40.0,30.0,12.0,9.0,7.0,8.0,0.0,4.0,48.0,24.0,14.0,10.0,8.0,4.0,8.0,1
6688,20120625,105777,Grigor Dimitrov,104731,Kevin Anderson,1,188.0,21.1115674196,1,203.0,26.1054072553,5,24.0,0.0,167.0,105.0,84.0,32.0,23.0,11.0,11.0,20.0,4.0,157.0,117.0,84.0,21.0,22.0,5.0,7.0,1
6690,20120625,103333,Ivo Karlovic,104534,Dudi Sela,1,208.0,33.3223819302,1,175.0,27.225188227199997,5,26.0,3.0,89.0,62.0,56.0,14.0,16.0,4.0,5.0,2.0,4.0,106.0,57.0,41.0,27.0,16.0,6.0,9.0,1
6680,20120625,105062,Mikhail Kukushkin,105453,Kei Nishikori,1,183.0,24.4982888433,1,178.0,22.4887063655,5,4.0,6.0,99.0,56.0,40.0,17.0,15.0,6.0,12.0,1.0,3.0,95.0,61.0,44.0,18.0,16.0,6.0,9.0,2
6691,20120625,104918,Andy Murray,103786,Nikolay Davydenko,1,190.0,25.1143052704,1,178.0,31.0636550308,5,10.0,1.0,60.0,40.0,33.0,15.0,12.0,0.0,0.0,4.0,3.0,79.0,42.0,25.0,14.0,12.0,7.0,13.0,1
6686,20120625,105577,Vasek Pospisil,105023,Sam Querrey,1,193.0,22.006844627,1,198.0,24.717316906199997,5,17.0,5.0,137.0,77.0,52.0,37.0,21.0,6.0,10.0,19.0,4.0,132.0,78.0,69.0,28.0,22.0,5.0,6.0,2
6692,20120625,103720,Lleyton Hewitt,104542,Jo-Wilfried Tsonga,1,180.0,31.3319644079,1,188.0,27.189596166999998,5,1.0,3.0,86.0,51.0,33.0,18.0,14.0,4.0,7.0,21.0,3.0,88.0,61.0,50.0,16.0,15.0,8.0,8.0,2
6687,20120625,105683,Milos Raonic,105053,Santiago Giraldo,1,196.0,21.4948665298,1,188.0,24.5776865161,5,20.0,3.0,81.0,53.0,50.0,16.0,15.0,2.0,2.0,5.0,1.0,84.0,57.0,38.0,17.0,15.0,1.0,4.0,1
6682,20120625,104424,Go Soeda,103857,Igor Kunitsyn,1,178.0,27.8028747433,1,180.0,30.735112936300002,5,9.0,6.0,75.0,33.0,23.0,28.0,12.0,2.0,3.0,3.0,0.0,72.0,53.0,27.0,6.0,12.0,6.0,13.0,1
6685,20120625,105147,Tatsuma Ito,103997,Lukasz Kubot,1,180.0,24.104038329899996,1,190.0,30.1108829569,5,3.0,2.0,108.0,73.0,40.0,20.0,15.0,4.0,10.0,9.0,3.0,92.0,65.0,46.0,15.0,15.0,2.0,5.0,2
6684,20120625,105227,Marin Cilic,105649,Cedrik Marcel Stebe,1,198.0,23.7399041752,0,183.0,21.711156741999996,5,7.0,3.0,138.0,88.0,59.0,21.0,18.0,12.0,16.0,4.0,4.0,115.0,67.0,42.0,21.0,18.0,6.0,13.0,1
6683,20120625,104898,Robin Haase,105223,Juan Martin del Potro,1,190.0,25.2210814511,1,198.0,23.753593429200002,5,18.0,1.0,131.0,82.0,65.0,22.0,22.0,3.0,7.0,16.0,2.0,121.0,79.0,63.0,22.0,21.0,2.0,5.0,2
6681,20120625,103722,Florent Serra,105723,Andrey Kuznetsov,1,180.0,31.3210130048,1,185.0,21.3388090349,5,7.0,6.0,171.0,108.0,74.0,32.0,26.0,11.0,17.0,19.0,7.0,156.0,94.0,72.0,30.0,25.0,7.0,12.0,1
6694,20120625,105041,Lukas Lacko,104494,Adrian Ungur,1,185.0,24.643394935,1,178.0,27.4140999316,5,9.0,1.0,92.0,60.0,50.0,17.0,14.0,1.0,2.0,3.0,6.0,96.0,62.0,37.0,18.0,14.0,4.0,9.0,1
6693,20120625,104273,Edouard Roger Vasselin,104198,Guillermo Garcia Lopez,1,188.0,28.574948665300003,1,188.0,29.0595482546,5,6.0,4.0,211.0,140.0,98.0,39.0,31.0,6.0,12.0,18.0,6.0,196.0,112.0,90.0,43.0,32.0,10.0,15.0,2
6705,20120625,105132,Jurgen Zopp,104291,Malek Jaziri,1,190.0,24.240930869299998,1,185.0,28.429842573600002,5,18.0,6.0,152.0,93.0,72.0,31.0,27.0,5.0,9.0,16.0,0.0,166.0,103.0,80.0,35.0,28.0,8.0,11.0,2
6695,20120625,103781,Jurgen Melzer,104527,Stan Wawrinka,0,183.0,31.0937713895,1,183.0,27.2443531828,5,1.0,10.0,165.0,96.0,68.0,37.0,26.0,6.0,12.0,20.0,14.0,165.0,84.0,62.0,44.0,27.0,4.0,9.0,1
6696,20120625,106071,Bernard Tomic,105676,David Goffin,1,193.0,19.6769336071,1,163.0,21.5496235455,5,5.0,1.0,120.0,83.0,57.0,20.0,19.0,9.0,14.0,11.0,3.0,117.0,72.0,52.0,26.0,19.0,6.0,9.0,2
6697,20120625,105028,Jesse Levine,103971,Karol Beck,0,175.0,24.6954140999,1,180.0,30.2286105407,5,9.0,1.0,118.0,76.0,57.0,30.0,20.0,1.0,2.0,16.0,5.0,120.0,68.0,49.0,26.0,19.0,3.0,8.0,1
6698,20120625,104868,James Ward,104665,Pablo Andujar,1,190.0,25.3744010951,1,180.0,26.4202600958,5,10.0,2.0,135.0,89.0,65.0,23.0,21.0,5.0,8.0,5.0,10.0,151.0,97.0,66.0,20.0,22.0,8.0,15.0,1
6699,20120625,103105,Ruben Ramirez Hidalgo,103888,Mardy Fish,1,183.0,34.4668035592,1,188.0,30.5434633812,5,4.0,5.0,128.0,75.0,48.0,31.0,18.0,8.0,10.0,24.0,6.0,103.0,56.0,52.0,29.0,18.0,4.0,5.0,2
6700,20120625,103813,Jarkko Nieminen,103852,Feliciano Lopez,0,185.0,30.9240246407,0,188.0,30.762491444200002,5,9.0,0.0,144.0,97.0,72.0,27.0,21.0,2.0,3.0,28.0,6.0,154.0,88.0,73.0,32.0,22.0,8.0,9.0,1
6701,20120625,104349,Rui Machado,104548,Brian Baker,1,178.0,28.2080766598,1,190.0,27.1540041068,5,6.0,11.0,104.0,55.0,38.0,19.0,14.0,4.0,9.0,6.0,6.0,83.0,43.0,37.0,25.0,14.0,1.0,2.0,2
6702,20120625,105332,Benoit Paire,105051,Matthew Ebden,1,196.0,23.1321013005,1,188.0,24.5804243669,5,8.0,8.0,140.0,81.0,57.0,36.0,19.0,11.0,11.0,3.0,9.0,131.0,84.0,51.0,25.0,18.0,15.0,20.0,1
6703,20120625,105238,Alexandr Dolgopolov,104166,Alex Bogomolov Jr,1,180.0,23.630390143699998,1,178.0,29.1745379877,5,23.0,4.0,106.0,67.0,54.0,19.0,16.0,10.0,10.0,5.0,5.0,99.0,67.0,45.0,15.0,15.0,8.0,11.0,1
6704,20120625,104259,Philipp Kohlschreiber,103163,Tommy Haas,1,178.0,28.6926762491,1,188.0,34.228610540700004,5,31.0,2.0,172.0,108.0,86.0,36.0,26.0,4.0,6.0,20.0,7.0,168.0,117.0,90.0,27.0,27.0,8.0,11.0,1
6706,20120625,104586,Lukas Rosol,104471,Ivan Dodig,1,196.0,26.921286789899998,1,183.0,27.477070499699998,5,12.0,4.0,130.0,88.0,73.0,23.0,21.0,5.0,6.0,27.0,8.0,134.0,77.0,62.0,29.0,22.0,3.0,5.0,1
6707,20120625,105064,Thomaz Bellucci,104745,Rafael Nadal,0,188.0,24.487337440100003,0,185.0,26.0616016427,5,5.0,1.0,91.0,56.0,33.0,14.0,14.0,3.0,9.0,6.0,1.0,89.0,57.0,43.0,19.0,15.0,1.0,4.0,2
